id,description,Employee engagement index 2,My work ,Organisational objectives and purpose ,My manager ,My team ,Learning and development ,Inclusion and fair treatment ,Resources and workload ,Pay and benefits ,Leadership and managing change ,B01. I am interested in my work ,B02. I am sufficiently challenged by my work ,B03. My work gives me a sense of personal accomplishment ,B04. I feel involved in the decisions that affect my work ,B05. I have a choice in deciding how I do my work,B06. I have a clear understanding of [my organisation's] purpose 3,B07. I have a clear understanding of [my organisation's] objectives ,B08. I understand how my work contributes to [my organisation's] objectives ,B09. My manager motivates me to be more effective in my job ,B10. My manager is considerate of my life outside work ,B11. My manager is open to my ideas ,B12. My manager helps me to understand how I contribute to [my organisation's] objectives ,"B13. Overall, I have confidence in the decisions made by my manager ",B14. My manager recognises when I have done my job well ,B15. I receive regular feedback on my performance ,B16. The feedback I receive helps me to improve my performance ,B17. I think that my performance is evaluated fairly ,B18. Poor performance is dealt with effectively in my team ,B19. The people in my team can be relied upon to help when things get difficult in my job ,B20. The people in my team work together to find ways to improve the service we provide ,B21. The people in my team are encouraged to come up with new and better ways of doing things ,B22. I am able to access the right learning and development opportunities when I need to ,B23. Learning and development activities I have completed in the past 12 months have helped to improve my performance ,B24. There are opportunities for me to develop my career in [my organisation] ,B25. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career ,B26. I am treated fairly at work ,B27. I am treated with respect by the people I work with ,B28. I feel valued for the work I do ,"B29. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc)  ","B30. In my job, I am clear what is expected of me ",B31. I get the information I need to do my job well ,B32. I have clear work objectives ,B33. I have the skills I need to do my job effectively ,B34. I have the tools I need to do my job effectively,B35. I have an acceptable workload,B36. I achieve a good balance between my work life and my private life,B37. I feel that my pay adequately reflects my performance ,B38. I am satisfied with the total benefits package ,B39. Compared to people doing a similar job in other organisations I feel my pay is reasonable ,B40. I feel that [my organisation] as a whole is managed well ,B41. [Senior managers] in [my organisation] are sufficiently visible ,B42. I believe the actions of [senior managers] are consistent with [my organisation's] values ,B43. I believe that [the board has] a clear vision for the future of [my organisation] ,"B44. Overall, I have confidence in the decisions made by [my organisation's senior managers] ",B45. I feel that change is managed well in [my organisation] ,B46. When changes are made in [my organisation] they are usually for the better ,B47. [My organisation] keeps me informed about matters that affect me ,B48. I have the opportunity to contribute my views before decisions are made that affect me ,B49. I think it is safe to challenge the way things are done in [my organisation] ,B50. I am proud when I tell others I am part of [my organisation] ,B51. I would recommend [my organisation] as a great place to work ,B52. I feel a strong personal attachment to [my organisation] ,B53. [My organisation] inspires me to do the best in my job ,B54. [My organisation] motivates me to help it achieve its objectives,B55. I believe that [senior managers] in [my organisation] will take action on the results from this survey ,B56. I believe that managers where I work will take action on the results from this survey ,"B57. Where I work, I think effective action has been taken on the results of the last survey 7 ",B58. I am trusted to carry out my job effectively ,"B59. I believe I would be supported if I try a new idea, even if it may not work ","B60. My performance is evaluated based on whether I get things done, rather than solely follow process ","B61. When I talk about [my organisation] I say ""we"" rather than ""they” ",B62. I have some really good friendships at work ,I want to leave [my organisation] as soon as possible ,I want to leave [my organisation] within the next 12 months ,I want to stay working for [my organisation] for at least the next year ,I want to stay working for [my organisation] for at least the next three years ,D01. Are you aware of the Civil Service Code? ,D02. Are you aware of how to raise a concern under the Civil Service Code? ,D03. Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly? ,"W01. Overall, how satisfied are you with your life nowadays? (% 7-10) 
(0=not at all satisfied, 10=completely satisfied) ","W02. Overall, to what extent do you think the things you do in your life are worthwhile? (% 7-10) 
(0=not at all worthwhile, 10=completely worthwhile) ","W03. Overall, how happy did you feel yesterday? (% 7-10) 
(0=not at all happy, 10=completely happy) ","W04. Overall, how anxious did you feel yesterday? (% 0-3) 
(0=not at all anxious, 10=completely anxious) ",E01. During the past 12 months have you personally experienced discrimination at work? ,E03. During the past 12 months have you personally experienced bullying or harassment at work? 
sx_female,"Female  (n=124,778)",0.58,0.73,0.84,0.69,0.82,0.53,0.77,0.74,0.32,0.41,0.9,0.8,0.76,0.54,0.67,0.85,0.82,0.84,0.7,0.79,0.8,0.67,0.72,0.79,0.7,0.66,0.65,0.44,0.85,0.83,0.77,0.66,0.54,0.46,0.45,0.8,0.86,0.65,0.75,0.86,0.69,0.79,0.86,0.67,0.62,0.7,0.31,0.37,0.29,0.43,0.48,0.44,0.43,0.38,0.32,0.29,0.56,0.34,0.4,0.54,0.46,0.48,0.45,0.43,0.42,0.56,0.4,0.89,0.68,0.65,0.63,0.84,0.07,0.1,0.23,0.6,0.87,0.65,0.67,0.66,0.73,0.63,0.51,0.11,0.11
a_1634,"Aged 16-34  (n=53,431)",0.59,0.69,0.8,0.69,0.79,0.56,0.77,0.73,0.33,0.43,0.86,0.73,0.69,0.52,0.66,0.83,0.77,0.8,0.71,0.81,0.81,0.64,0.74,0.79,0.66,0.66,0.66,0.41,0.84,0.8,0.73,0.64,0.56,0.54,0.52,0.82,0.86,0.64,0.77,0.84,0.68,0.74,0.87,0.67,0.63,0.7,0.33,0.38,0.3,0.46,0.53,0.48,0.41,0.42,0.33,0.32,0.56,0.34,0.44,0.61,0.54,0.44,0.46,0.44,0.41,0.52,0.32,0.89,0.69,0.63,0.63,0.81,0.08,0.14,0.32,0.46,0.8,0.51,0.65,0.64,0.68,0.59,0.51,0.11,0.09
a_3544,"Aged 35-44  (n=60,949)",0.57,0.74,0.81,0.69,0.8,0.52,0.75,0.71,0.3,0.4,0.89,0.8,0.74,0.56,0.69,0.83,0.79,0.82,0.69,0.8,0.81,0.65,0.73,0.79,0.67,0.64,0.64,0.44,0.84,0.81,0.76,0.62,0.52,0.47,0.46,0.79,0.85,0.63,0.73,0.84,0.67,0.75,0.85,0.64,0.58,0.66,0.3,0.34,0.27,0.41,0.47,0.43,0.4,0.37,0.3,0.28,0.54,0.34,0.41,0.54,0.45,0.48,0.42,0.4,0.41,0.53,0.36,0.88,0.69,0.64,0.64,0.81,0.08,0.11,0.25,0.56,0.87,0.64,0.66,0.62,0.69,0.6,0.49,0.12,0.11
a_4554,"Aged 45-54  (n=79,870)",0.55,0.74,0.81,0.66,0.8,0.49,0.74,0.7,0.27,0.37,0.89,0.82,0.76,0.56,0.67,0.83,0.79,0.82,0.67,0.77,0.78,0.64,0.7,0.77,0.66,0.61,0.61,0.44,0.85,0.81,0.75,0.62,0.51,0.43,0.42,0.77,0.85,0.62,0.71,0.84,0.65,0.75,0.85,0.62,0.57,0.64,0.27,0.3,0.25,0.38,0.43,0.4,0.4,0.34,0.28,0.25,0.53,0.33,0.38,0.49,0.38,0.47,0.4,0.38,0.39,0.52,0.37,0.87,0.66,0.62,0.62,0.8,0.09,0.08,0.18,0.65,0.9,0.7,0.65,0.61,0.69,0.6,0.5,0.11,0.11
a_55p,"Aged 55+  (n=41,210)",0.54,0.73,0.8,0.65,0.8,0.45,0.74,0.73,0.25,0.34,0.9,0.82,0.77,0.51,0.64,0.81,0.78,0.81,0.65,0.75,0.75,0.62,0.68,0.76,0.66,0.59,0.61,0.43,0.85,0.81,0.72,0.63,0.46,0.37,0.35,0.78,0.86,0.63,0.69,0.85,0.67,0.77,0.87,0.64,0.61,0.68,0.24,0.28,0.22,0.34,0.38,0.36,0.37,0.3,0.26,0.21,0.51,0.3,0.36,0.47,0.35,0.46,0.38,0.36,0.37,0.49,0.35,0.87,0.63,0.61,0.59,0.79,0.09,0.11,0.24,0.56,0.9,0.73,0.64,0.66,0.73,0.64,0.54,0.1,0.1
eh_white,"White  (n=220,741)",0.55,0.72,0.81,0.67,0.8,0.5,0.75,0.71,0.29,0.37,0.88,0.8,0.74,0.53,0.67,0.83,0.78,0.81,0.67,0.78,0.78,0.63,0.71,0.77,0.66,0.61,0.62,0.42,0.84,0.81,0.74,0.62,0.51,0.44,0.43,0.79,0.85,0.62,0.73,0.84,0.65,0.75,0.85,0.63,0.59,0.66,0.28,0.33,0.26,0.38,0.44,0.41,0.39,0.34,0.28,0.25,0.53,0.32,0.39,0.5,0.41,0.45,0.4,0.37,0.38,0.51,0.34,0.88,0.67,0.62,0.61,0.8,0.08,0.11,0.24,0.56,0.88,0.66,0.66,0.63,0.69,0.6,0.51,0.11,0.1
eh_bame,"BME  (n=22,895)",0.63,0.73,0.83,0.68,0.79,0.55,0.74,0.76,0.27,0.45,0.88,0.78,0.76,0.56,0.64,0.83,0.8,0.84,0.71,0.74,0.75,0.67,0.7,0.78,0.68,0.69,0.62,0.49,0.82,0.8,0.74,0.63,0.57,0.49,0.51,0.75,0.83,0.67,0.71,0.86,0.73,0.8,0.86,0.71,0.64,0.69,0.28,0.29,0.25,0.49,0.53,0.47,0.47,0.43,0.39,0.36,0.59,0.37,0.39,0.66,0.56,0.53,0.54,0.51,0.46,0.53,0.4,0.87,0.62,0.63,0.68,0.81,0.09,0.11,0.24,0.56,0.76,0.55,0.58,0.61,0.69,0.61,0.45,0.14,0.12
ed_white,"White  (n=220,741)",0.55,0.72,0.81,0.67,0.8,0.5,0.75,0.71,0.29,0.37,0.88,0.8,0.74,0.53,0.67,0.83,0.78,0.81,0.67,0.78,0.78,0.63,0.71,0.77,0.66,0.61,0.62,0.42,0.84,0.81,0.74,0.62,0.51,0.44,0.43,0.79,0.85,0.62,0.73,0.84,0.65,0.75,0.85,0.63,0.59,0.66,0.28,0.33,0.26,0.38,0.44,0.41,0.39,0.34,0.28,0.25,0.53,0.32,0.39,0.5,0.41,0.45,0.4,0.37,0.38,0.51,0.34,0.88,0.67,0.62,0.61,0.8,0.08,0.11,0.24,0.56,0.88,0.66,0.66,0.63,0.69,0.6,0.51,0.11,0.1
ed_mixed,"Mixed  (n=3,533)",0.58,0.71,0.8,0.66,0.78,0.52,0.72,0.71,0.3,0.41,0.87,0.76,0.72,0.52,0.65,0.82,0.78,0.8,0.68,0.76,0.76,0.63,0.7,0.76,0.65,0.63,0.6,0.43,0.82,0.79,0.72,0.6,0.54,0.47,0.47,0.75,0.83,0.62,0.69,0.83,0.66,0.74,0.85,0.65,0.59,0.65,0.3,0.32,0.27,0.43,0.49,0.44,0.42,0.4,0.32,0.3,0.56,0.33,0.39,0.58,0.49,0.47,0.45,0.44,0.42,0.53,0.35,0.86,0.63,0.61,0.64,0.78,0.09,0.14,0.29,0.48,0.81,0.56,0.57,0.61,0.68,0.58,0.47,0.15,0.14
ed_asian,"Asian  (n=10,942)",0.64,0.74,0.83,0.69,0.79,0.55,0.76,0.77,0.27,0.46,0.89,0.8,0.77,0.59,0.65,0.84,0.81,0.85,0.72,0.74,0.76,0.68,0.71,0.77,0.69,0.7,0.63,0.5,0.82,0.8,0.74,0.63,0.57,0.49,0.51,0.76,0.84,0.69,0.73,0.86,0.74,0.81,0.87,0.73,0.66,0.72,0.28,0.29,0.24,0.49,0.53,0.48,0.47,0.44,0.42,0.39,0.59,0.39,0.4,0.69,0.59,0.57,0.56,0.54,0.46,0.52,0.41,0.89,0.62,0.65,0.71,0.82,0.08,0.11,0.22,0.6,0.76,0.57,0.59,0.61,0.68,0.61,0.43,0.14,0.12
ed_black,"Black  (n=6,308)",0.63,0.72,0.84,0.69,0.8,0.57,0.73,0.77,0.26,0.45,0.89,0.75,0.77,0.54,0.63,0.84,0.82,0.86,0.71,0.72,0.74,0.68,0.68,0.79,0.7,0.71,0.63,0.5,0.83,0.82,0.76,0.64,0.59,0.5,0.53,0.75,0.83,0.67,0.68,0.87,0.75,0.81,0.87,0.73,0.64,0.69,0.26,0.27,0.24,0.5,0.55,0.47,0.49,0.43,0.4,0.34,0.61,0.35,0.37,0.65,0.56,0.52,0.54,0.52,0.46,0.54,0.42,0.87,0.6,0.62,0.64,0.8,0.09,0.11,0.22,0.58,0.75,0.54,0.55,0.61,0.72,0.64,0.47,0.14,0.12
ed_oth,"Other ethnic group  (n=2,112)",0.61,0.7,0.77,0.66,0.76,0.51,0.73,0.72,0.26,0.45,0.84,0.76,0.72,0.54,0.63,0.78,0.75,0.79,0.68,0.72,0.75,0.63,0.68,0.77,0.65,0.66,0.6,0.47,0.8,0.77,0.72,0.59,0.54,0.42,0.51,0.71,0.81,0.66,0.73,0.82,0.69,0.76,0.85,0.65,0.61,0.67,0.26,0.28,0.23,0.48,0.53,0.5,0.47,0.47,0.39,0.35,0.56,0.36,0.41,0.66,0.56,0.53,0.52,0.5,0.48,0.54,0.39,0.85,0.61,0.63,0.64,0.8,0.11,0.14,0.28,0.48,0.68,0.49,0.55,0.61,0.67,0.59,0.42,0.16,0.14
ei_wbritish,"White- British  (n=211,717)",0.55,0.72,0.81,0.67,0.8,0.5,0.75,0.71,0.29,0.37,0.88,0.8,0.74,0.53,0.67,0.83,0.78,0.81,0.67,0.78,0.78,0.63,0.71,0.77,0.66,0.61,0.62,0.42,0.85,0.81,0.74,0.63,0.5,0.44,0.42,0.79,0.86,0.62,0.73,0.84,0.65,0.75,0.85,0.63,0.59,0.66,0.28,0.33,0.26,0.38,0.44,0.41,0.39,0.34,0.28,0.25,0.53,0.32,0.39,0.5,0.4,0.45,0.4,0.37,0.38,0.51,0.34,0.88,0.67,0.62,0.61,0.8,0.08,0.11,0.24,0.57,0.89,0.66,0.66,0.63,0.69,0.6,0.51,0.11,0.1
ei_wirish,"White - Irish  (n=1,977)",0.57,0.74,0.8,0.68,0.8,0.52,0.75,0.71,0.29,0.4,0.89,0.81,0.77,0.55,0.67,0.82,0.78,0.81,0.71,0.78,0.79,0.64,0.73,0.79,0.67,0.63,0.63,0.42,0.84,0.81,0.74,0.62,0.53,0.47,0.46,0.78,0.85,0.66,0.71,0.83,0.66,0.75,0.85,0.64,0.59,0.65,0.29,0.31,0.25,0.41,0.47,0.43,0.4,0.38,0.31,0.29,0.54,0.33,0.39,0.53,0.46,0.5,0.45,0.43,0.41,0.53,0.37,0.86,0.67,0.63,0.65,0.77,0.09,0.12,0.27,0.53,0.89,0.66,0.66,0.62,0.7,0.62,0.5,0.13,0.13
ei_wgypsy,White - Gypsy/Irish Traveller  (n=429),0.38,0.51,0.57,0.48,0.6,0.31,0.5,0.52,0.16,0.17,0.68,0.6,0.52,0.34,0.44,0.59,0.56,0.56,0.47,0.61,0.59,0.41,0.51,0.6,0.49,0.41,0.39,0.3,0.66,0.6,0.53,0.39,0.33,0.26,0.27,0.55,0.62,0.37,0.48,0.65,0.42,0.52,0.69,0.43,0.43,0.5,0.16,0.17,0.14,0.16,0.23,0.19,0.15,0.13,0.13,0.11,0.24,0.13,0.18,0.28,0.2,0.27,0.2,0.19,0.17,0.29,0.19,0.63,0.38,0.42,0.36,0.67,0.28,0.16,0.21,0.36,0.8,0.58,0.36,0.41,0.47,0.42,0.41,0.3,0.26
ei_woth,"White - any other white background  (n=6,618)",0.59,0.73,0.81,0.66,0.78,0.5,0.75,0.7,0.29,0.41,0.9,0.79,0.74,0.53,0.69,0.83,0.78,0.81,0.67,0.77,0.78,0.62,0.71,0.77,0.64,0.62,0.63,0.42,0.82,0.78,0.72,0.59,0.54,0.4,0.47,0.77,0.84,0.65,0.73,0.81,0.64,0.74,0.87,0.64,0.58,0.64,0.29,0.32,0.26,0.43,0.5,0.46,0.39,0.41,0.3,0.26,0.57,0.32,0.4,0.63,0.51,0.47,0.46,0.44,0.44,0.54,0.36,0.87,0.65,0.64,0.66,0.74,0.08,0.14,0.31,0.47,0.81,0.57,0.63,0.64,0.72,0.63,0.5,0.14,0.13
ei_mwbc,Mixed - White and Black Caribbean  (n=688),0.58,0.7,0.81,0.66,0.77,0.53,0.72,0.73,0.34,0.42,0.87,0.74,0.71,0.52,0.64,0.83,0.79,0.82,0.69,0.74,0.76,0.64,0.69,0.75,0.64,0.63,0.6,0.43,0.8,0.77,0.74,0.62,0.54,0.5,0.48,0.74,0.83,0.62,0.7,0.85,0.68,0.76,0.85,0.67,0.61,0.67,0.33,0.37,0.31,0.44,0.51,0.44,0.42,0.39,0.33,0.33,0.59,0.33,0.41,0.56,0.47,0.45,0.46,0.45,0.41,0.53,0.37,0.88,0.65,0.62,0.58,0.78,0.08,0.14,0.24,0.53,0.8,0.56,0.57,0.62,0.69,0.6,0.5,0.14,0.13
ei_mwba,Mixed - White and Black African  (n=373),0.62,0.73,0.83,0.69,0.8,0.56,0.74,0.74,0.3,0.45,0.89,0.78,0.78,0.54,0.64,0.85,0.81,0.84,0.72,0.71,0.75,0.65,0.71,0.78,0.71,0.72,0.66,0.48,0.83,0.79,0.78,0.62,0.57,0.53,0.53,0.76,0.82,0.66,0.71,0.88,0.71,0.77,0.85,0.69,0.61,0.68,0.31,0.29,0.31,0.51,0.51,0.48,0.51,0.44,0.39,0.35,0.58,0.35,0.43,0.62,0.55,0.51,0.52,0.49,0.45,0.53,0.4,0.86,0.61,0.62,0.65,0.79,0.08,0.12,0.23,0.57,0.76,0.54,0.57,0.57,0.63,0.51,0.45,0.18,0.12
ei_mwas,"Mixed - White and Asian  (n=1,061)",0.57,0.72,0.8,0.67,0.78,0.54,0.74,0.71,0.29,0.43,0.87,0.77,0.73,0.55,0.69,0.82,0.78,0.8,0.69,0.79,0.78,0.64,0.73,0.77,0.65,0.63,0.61,0.43,0.83,0.79,0.73,0.61,0.55,0.5,0.49,0.77,0.84,0.63,0.7,0.82,0.67,0.75,0.84,0.64,0.62,0.66,0.3,0.32,0.25,0.44,0.51,0.47,0.43,0.42,0.33,0.3,0.57,0.37,0.42,0.58,0.51,0.48,0.44,0.42,0.45,0.55,0.34,0.87,0.66,0.63,0.67,0.77,0.08,0.11,0.33,0.48,0.84,0.57,0.62,0.62,0.67,0.56,0.47,0.14,0.12
ei_moth,"Mixed - any other mixed background  (n=1,411)",0.58,0.7,0.79,0.65,0.77,0.5,0.7,0.69,0.28,0.38,0.87,0.75,0.71,0.5,0.64,0.81,0.76,0.78,0.66,0.77,0.75,0.61,0.68,0.75,0.63,0.61,0.58,0.42,0.82,0.79,0.7,0.58,0.53,0.43,0.44,0.74,0.81,0.6,0.67,0.81,0.64,0.72,0.85,0.63,0.56,0.62,0.29,0.3,0.24,0.41,0.48,0.42,0.38,0.37,0.29,0.28,0.53,0.31,0.36,0.58,0.47,0.47,0.45,0.43,0.41,0.51,0.35,0.84,0.61,0.6,0.63,0.79,0.1,0.17,0.3,0.43,0.8,0.56,0.54,0.6,0.69,0.61,0.47,0.16,0.16
ei_aindian,"Asian - Indian  (n=5,955)",0.63,0.73,0.83,0.68,0.78,0.55,0.75,0.76,0.25,0.44,0.88,0.79,0.76,0.58,0.65,0.83,0.81,0.85,0.7,0.74,0.76,0.67,0.69,0.77,0.69,0.7,0.62,0.48,0.82,0.79,0.74,0.65,0.56,0.49,0.49,0.76,0.84,0.67,0.72,0.86,0.73,0.8,0.86,0.72,0.64,0.71,0.26,0.27,0.22,0.47,0.51,0.44,0.44,0.41,0.4,0.36,0.59,0.37,0.39,0.66,0.56,0.55,0.54,0.51,0.44,0.51,0.4,0.88,0.63,0.64,0.71,0.82,0.08,0.11,0.22,0.6,0.79,0.59,0.6,0.61,0.68,0.62,0.43,0.13,0.11
ei_apakistani,"Asain - Pakistani  (n=1,971)",0.66,0.72,0.83,0.69,0.8,0.54,0.76,0.78,0.31,0.48,0.88,0.78,0.77,0.56,0.62,0.84,0.8,0.85,0.73,0.74,0.76,0.67,0.71,0.76,0.69,0.69,0.63,0.53,0.84,0.82,0.73,0.59,0.55,0.5,0.5,0.77,0.85,0.67,0.74,0.88,0.76,0.81,0.88,0.76,0.67,0.71,0.32,0.32,0.3,0.52,0.56,0.49,0.48,0.46,0.44,0.42,0.58,0.39,0.41,0.71,0.64,0.59,0.59,0.56,0.46,0.52,0.41,0.89,0.6,0.64,0.7,0.82,0.09,0.1,0.22,0.59,0.74,0.52,0.57,0.6,0.66,0.59,0.46,0.17,0.15
ai_abangladeshi,Asian - Bangladeshi  (n=891),0.66,0.75,0.83,0.71,0.81,0.55,0.78,0.8,0.31,0.48,0.89,0.77,0.79,0.6,0.69,0.84,0.8,0.86,0.75,0.73,0.77,0.7,0.74,0.79,0.68,0.72,0.66,0.57,0.83,0.82,0.79,0.61,0.57,0.52,0.51,0.8,0.85,0.71,0.77,0.88,0.78,0.84,0.9,0.77,0.69,0.74,0.32,0.32,0.27,0.52,0.56,0.52,0.48,0.48,0.43,0.43,0.6,0.39,0.42,0.73,0.65,0.57,0.6,0.56,0.47,0.54,0.4,0.9,0.63,0.66,0.72,0.84,0.08,0.11,0.23,0.58,0.72,0.52,0.6,0.62,0.68,0.6,0.43,0.12,0.11
ei_achinese,Asian - Chinese  (n=718),0.59,0.7,0.8,0.69,0.78,0.48,0.74,0.73,0.26,0.46,0.81,0.75,0.71,0.56,0.66,0.8,0.77,0.82,0.7,0.73,0.8,0.65,0.71,0.81,0.67,0.7,0.63,0.45,0.81,0.79,0.74,0.57,0.53,0.37,0.46,0.74,0.8,0.68,0.74,0.84,0.69,0.78,0.82,0.63,0.63,0.7,0.26,0.29,0.22,0.47,0.57,0.52,0.47,0.47,0.35,0.33,0.58,0.37,0.43,0.62,0.53,0.42,0.47,0.48,0.49,0.55,0.38,0.88,0.65,0.65,0.65,0.8,0.09,0.18,0.41,0.33,0.67,0.45,0.58,0.63,0.67,0.63,0.44,0.11,0.11
ei_aoth,"Asian - any other Asian background  (n=2,125)",0.66,0.77,0.85,0.7,0.78,0.57,0.76,0.77,0.29,0.49,0.91,0.83,0.79,0.63,0.68,0.85,0.83,0.87,0.72,0.73,0.76,0.7,0.72,0.79,0.69,0.72,0.66,0.52,0.81,0.79,0.75,0.64,0.61,0.5,0.55,0.75,0.83,0.71,0.73,0.86,0.74,0.82,0.88,0.73,0.67,0.71,0.3,0.31,0.26,0.53,0.57,0.53,0.52,0.49,0.44,0.41,0.6,0.41,0.41,0.73,0.61,0.6,0.58,0.56,0.5,0.54,0.43,0.89,0.64,0.67,0.73,0.83,0.07,0.1,0.23,0.61,0.74,0.57,0.6,0.62,0.69,0.61,0.41,0.14,0.12
ei_bafrican,"Black - African  (n=3,454)",0.67,0.73,0.87,0.72,0.82,0.59,0.76,0.8,0.28,0.51,0.92,0.76,0.8,0.56,0.63,0.87,0.85,0.89,0.75,0.73,0.75,0.71,0.69,0.81,0.74,0.76,0.66,0.56,0.85,0.84,0.77,0.64,0.63,0.52,0.58,0.76,0.84,0.72,0.73,0.89,0.79,0.85,0.9,0.77,0.68,0.72,0.28,0.29,0.26,0.59,0.6,0.53,0.56,0.5,0.48,0.41,0.65,0.37,0.4,0.74,0.65,0.59,0.62,0.59,0.52,0.58,0.46,0.87,0.59,0.64,0.7,0.8,0.09,0.1,0.21,0.6,0.7,0.52,0.56,0.6,0.71,0.63,0.44,0.13,0.11
ei_bcarib,"Black - Caribbean  (n=2,379)",0.57,0.7,0.81,0.66,0.79,0.53,0.69,0.72,0.23,0.38,0.87,0.75,0.72,0.52,0.63,0.82,0.78,0.83,0.67,0.71,0.74,0.65,0.67,0.77,0.65,0.66,0.6,0.44,0.82,0.8,0.74,0.64,0.54,0.49,0.47,0.73,0.81,0.61,0.62,0.85,0.69,0.77,0.83,0.68,0.59,0.65,0.23,0.26,0.21,0.39,0.47,0.39,0.4,0.34,0.31,0.25,0.56,0.31,0.33,0.52,0.44,0.42,0.44,0.42,0.38,0.5,0.37,0.86,0.61,0.6,0.56,0.8,0.09,0.12,0.23,0.56,0.81,0.57,0.56,0.62,0.74,0.64,0.52,0.14,0.12
ei_both,Black - any other Black background  (n=475),0.59,0.69,0.79,0.65,0.76,0.51,0.67,0.72,0.22,0.39,0.86,0.7,0.73,0.52,0.6,0.79,0.77,0.81,0.68,0.71,0.72,0.65,0.66,0.76,0.63,0.65,0.56,0.46,0.79,0.77,0.72,0.6,0.53,0.47,0.44,0.68,0.77,0.59,0.62,0.84,0.72,0.74,0.84,0.67,0.59,0.64,0.21,0.23,0.22,0.42,0.48,0.39,0.42,0.35,0.34,0.31,0.52,0.31,0.32,0.61,0.5,0.47,0.49,0.47,0.41,0.49,0.39,0.85,0.59,0.58,0.61,0.76,0.09,0.12,0.23,0.56,0.77,0.54,0.48,0.58,0.7,0.64,0.45,0.19,0.17
ei_oarab,Other - Arab  (n=667),0.68,0.74,0.78,0.7,0.79,0.59,0.78,0.77,0.32,0.56,0.89,0.8,0.75,0.6,0.66,0.79,0.76,0.79,0.73,0.74,0.75,0.69,0.71,0.79,0.68,0.7,0.62,0.57,0.82,0.79,0.75,0.63,0.58,0.51,0.61,0.74,0.87,0.74,0.79,0.85,0.77,0.79,0.89,0.73,0.66,0.73,0.33,0.33,0.3,0.63,0.59,0.61,0.57,0.58,0.55,0.48,0.62,0.47,0.51,0.75,0.71,0.68,0.64,0.6,0.58,0.6,0.48,0.88,0.65,0.67,0.68,0.87,0.09,0.09,0.2,0.62,0.57,0.46,0.56,0.61,0.68,0.57,0.38,0.15,0.12
ei_ooth,Other - any other background  (n=727),0.56,0.67,0.75,0.6,0.72,0.48,0.66,0.67,0.2,0.35,0.84,0.73,0.7,0.48,0.58,0.77,0.73,0.75,0.61,0.69,0.7,0.55,0.62,0.71,0.6,0.59,0.55,0.41,0.77,0.73,0.66,0.57,0.51,0.38,0.46,0.66,0.75,0.56,0.65,0.78,0.62,0.72,0.84,0.61,0.53,0.59,0.21,0.23,0.18,0.37,0.43,0.37,0.38,0.35,0.29,0.26,0.47,0.26,0.31,0.6,0.46,0.49,0.46,0.44,0.39,0.46,0.32,0.8,0.55,0.58,0.59,0.73,0.16,0.13,0.22,0.49,0.77,0.56,0.52,0.58,0.66,0.58,0.43,0.21,0.19
hs_none,"No long-term limiting illness or condition (n=211,772)",0.56,0.73,0.81,0.67,0.8,0.51,0.76,0.72,0.3,0.39,0.89,0.8,0.75,0.55,0.68,0.83,0.79,0.82,0.68,0.78,0.79,0.64,0.72,0.78,0.66,0.62,0.63,0.43,0.85,0.81,0.74,0.63,0.52,0.46,0.45,0.8,0.86,0.63,0.74,0.84,0.67,0.76,0.86,0.65,0.6,0.68,0.29,0.33,0.26,0.4,0.46,0.43,0.4,0.36,0.3,0.27,0.54,0.33,0.4,0.53,0.44,0.47,0.42,0.4,0.4,0.52,0.36,0.89,0.68,0.63,0.63,0.8,0.08,0.11,0.25,0.56,0.87,0.65,0.66,0.65,0.72,0.62,0.52,0.1,0.09
hs_llti,"Long-term limiting illness or condition (n=37,098)",0.49,0.65,0.77,0.61,0.75,0.42,0.65,0.65,0.22,0.3,0.84,0.75,0.68,0.44,0.57,0.78,0.74,0.77,0.62,0.73,0.71,0.58,0.64,0.71,0.64,0.56,0.54,0.38,0.8,0.76,0.68,0.55,0.45,0.35,0.34,0.68,0.78,0.52,0.61,0.79,0.58,0.7,0.8,0.56,0.52,0.58,0.21,0.25,0.19,0.3,0.36,0.32,0.33,0.26,0.23,0.2,0.45,0.25,0.3,0.42,0.32,0.41,0.33,0.31,0.31,0.45,0.3,0.81,0.57,0.53,0.55,0.77,0.14,0.12,0.21,0.54,0.89,0.65,0.54,0.49,0.57,0.47,0.41,0.23,0.2
hi_noimpact,"Illness/condition has no impact on daily activity/work (10,154)",0.55,0.72,0.8,0.66,0.79,0.49,0.73,0.72,0.26,0.36,0.89,0.79,0.75,0.52,0.66,0.82,0.78,0.81,0.66,0.78,0.77,0.62,0.7,0.76,0.66,0.61,0.61,0.42,0.84,0.8,0.73,0.62,0.51,0.41,0.41,0.77,0.85,0.62,0.7,0.84,0.66,0.75,0.86,0.63,0.6,0.68,0.25,0.3,0.22,0.37,0.41,0.38,0.39,0.32,0.27,0.24,0.52,0.3,0.37,0.49,0.39,0.48,0.4,0.37,0.37,0.5,0.35,0.87,0.65,0.6,0.61,0.8,0.09,0.1,0.22,0.59,0.9,0.68,0.63,0.59,0.67,0.57,0.49,0.14,0.14
